City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,quepos,9.4236,-84.1652,303.39,69,47,3.02,CR,1714933897
140,kununurra,-15.7667,128.7333,299.14,44,21,4.63,AU,1714933897
141,junin de los andes,-39.9504,-71.0694,276.9,76,0,6.78,AR,1714933897
142,puerto maldonado,-12.6,-69.1833,306.37,66,40,2.06,PE,1714933898
143,puri,19.8,85.85,303.44,89,6,9.96,IN,1714933898
144,aztec,36.8222,-107.9929,293.13,47,100,2.68,US,1714933898
145,utrik,11.2278,169.8474,300.39,82,100,7.37,MH,1714933899
146,avarua,-21.2078,-159.775,300.18,89,75,6.69,CK,1714933899
147,anadyr,64.75,177.4833,262.43,79,0,7.0,RU,1714933899
148,huarmey,-10.0681,-78.1522,296.24,75,24,4.72,PE,1714933900
149,geraldton,-28.7667,114.6,284.38,82,0,0.0,AU,1714933656
150,kavaratti,10.5669,72.642,302.62,68,14,2.5,IN,1714933900
151,kindu,-2.95,25.95,297.0,72,12,1.15,CD,1714933901
152,hami,42.8,93.45,299.03,6,100,8.5,CN,1714933901
153,atafu village,-8.5421,-172.5159,301.78,78,80,3.02,TK,1714933607
154,az zuwaytinah,30.9522,20.1202,292.21,65,0,6.58,LY,1714933902
155,howrah,22.5892,88.3103,304.15,79,40,7.2,IN,1714933902
156,qarqaraly,49.4058,75.4742,280.04,94,100,4.95,KZ,1714933903
157,san jose iturbide,21.0,-100.3833,304.03,13,80,4.85,MX,1714933903
158,qamdo,31.1667,97.2333,275.4,79,95,2.05,CN,1714933903
159,lanzhou,36.0564,103.7922,291.16,20,1,0.68,CN,1714933904
160,nikolayevsk-on-amure,53.1406,140.73,273.83,71,14,1.79,RU,1714933904
161,ancud,-41.8697,-73.8203,281.98,68,87,7.88,CL,1714933904
162,marsh harbour,26.5412,-77.0636,297.89,67,91,6.37,BS,1714933905
163,siwa oasis,29.2041,25.5195,296.47,29,0,3.12,EG,1714933905
164,hovd,48.0056,91.6419,288.1,21,0,2.07,MN,1714933905
165,inhambane,-23.865,35.3833,294.14,83,0,0.0,MZ,1714933906
166,punta arenas,-53.15,-70.9167,278.21,52,40,5.14,CL,1714933814
167,georgetown,5.4112,100.3354,302.11,76,20,1.54,MY,1714933645
168,port saint john's,-31.6229,29.5448,293.8,88,1,2.6,ZA,1714933907
169,lebu,-37.6167,-73.65,284.83,62,58,4.6,CL,1714933649
170,college,64.8569,-147.8028,284.12,52,40,3.6,US,1714933908
171,canico,32.6333,-16.85,295.93,89,40,1.54,PT,1714933908
172,ilulissat,69.2167,-51.1,267.16,86,100,3.09,GL,1714933908
173,fallon,39.4735,-118.7774,282.1,37,40,5.66,US,1714933909
174,poso,-1.3959,120.7524,298.5,90,97,2.45,ID,1714933909
175,dikwa,12.024,13.9165,309.97,14,5,5.96,NG,1714933909
176,metu,8.3,35.5833,289.9,80,29,1.18,ET,1714933910
177,ngaoundere,7.3167,13.5833,298.2,51,44,1.29,CM,1714933910
178,camayenne,9.535,-13.6878,305.2,62,0,4.12,GN,1714933911
179,portland,45.5234,-122.6762,283.0,93,100,4.02,US,1714933343
180,vorgashor,67.5833,63.95,255.49,100,100,2.1,RU,1714933911
181,klyuchi,52.2667,79.1667,281.91,77,100,4.51,RU,1714933912
182,kidal,18.4411,1.4078,309.3,19,92,5.43,ML,1714933912
183,tura,25.5198,90.2201,292.85,90,75,1.64,IN,1714933912
184,kalmunai,7.4167,81.8167,301.35,83,100,3.75,LK,1714933913
185,tosontsengel,48.7567,98.2839,282.25,44,5,1.23,MN,1714933913
186,ulladulla,-35.35,150.4667,287.95,80,100,4.93,AU,1714933913
187,pinotepa nacional,16.3167,-98.0167,308.66,30,100,4.99,MX,1714933914
188,hasaki,35.7333,140.8333,290.53,75,98,9.7,JP,1714933914
189,gadzhiyevo,69.2551,33.3362,272.86,70,100,8.32,RU,1714933655
190,tabuk,17.4189,121.4443,297.55,84,0,0.76,PH,1714933915
191,taro,-8.3862,115.28,295.15,93,84,0.63,ID,1714933915
192,maputo,-25.9653,32.5892,295.97,68,0,3.6,MZ,1714933887
193,sallisaw,35.4604,-94.7875,292.23,92,100,0.45,US,1714933916
194,kaele,10.1092,14.4508,309.96,14,38,3.81,CM,1714933916
195,zaozersk,69.4005,32.4476,268.85,81,100,3.16,RU,1714933917
196,lambarene,-0.7001,10.2406,300.26,86,87,2.98,GA,1714933917
197,al kharijah,25.4514,30.5464,298.94,18,0,5.07,EG,1714933917
198,tolanaro,-25.0319,46.9987,296.19,73,20,9.26,MG,1714933918
199,khadan khak,30.7477,67.7085,290.25,39,0,3.32,PK,1714933918
200,filey,54.21,-0.2892,287.97,80,100,3.01,GB,1714933919
201,mpanda,-6.3655,31.0409,291.81,95,97,1.32,TZ,1714933919
202,shizuishan,39.2333,106.7694,287.84,54,0,0.28,CN,1714933919
203,puerto aysen,-45.4,-72.7,277.0,95,100,1.58,CL,1714933920
204,pudozh,61.8099,36.5345,271.45,78,89,2.24,RU,1714933920
205,thief river falls,48.1191,-96.1812,289.68,44,20,3.09,US,1714933660
206,talnakh,69.4865,88.3972,259.93,76,21,1.92,RU,1714933921
207,carnarvon,-24.8667,113.6333,294.27,60,0,9.05,AU,1714933921
208,abepura,-2.6333,140.5833,297.6,100,40,0.51,ID,1714933921
209,corinto,37.9407,22.9573,291.06,55,0,0.41,GR,1714933922
210,escuintla,14.305,-90.785,309.53,41,89,4.93,GT,1714933854
211,road town,18.4167,-64.6167,303.17,70,40,3.6,VG,1714933922
212,taulaga,-11.0553,-171.0883,302.47,76,55,4.18,AS,1714933923
213,amalapuram,16.5833,82.0167,300.17,97,1,1.11,IN,1714933923
214,marksville,31.128,-92.0662,299.29,90,100,4.59,US,1714933923
215,la gi,10.6667,107.7833,300.96,80,100,2.24,VN,1714933924
216,yichang,30.7144,111.2847,291.76,92,100,1.0,CN,1714933924
217,camarinas,43.1311,-9.1817,287.0,77,12,3.68,ES,1714933925
218,palmer,42.1584,-72.3287,284.55,77,100,3.09,US,1714933925
219,pangoa,-12.1167,-73.0,304.42,52,54,2.07,PE,1714933925
220,bay roberts,47.5999,-53.2648,279.07,76,47,1.79,CA,1714933926
221,remire-montjoly,4.9167,-52.2667,301.17,100,100,2.57,GF,1714933637
222,pokhara,28.2333,83.9833,295.13,25,5,3.3,NP,1714933926
223,mugia,43.1041,-9.2179,286.99,77,12,3.87,ES,1714933927
224,hilton head island,32.2163,-80.7526,302.21,67,40,3.09,US,1714933585
225,pingliang,35.5392,106.6861,287.98,34,2,3.5,CN,1714933927
226,quatre cocos,-20.2078,57.7625,297.21,77,31,7.68,MU,1714933928
227,beyneu,45.3167,55.2,289.28,34,100,9.03,KZ,1714933928
228,waingapu,-9.6567,120.2641,297.75,83,92,2.58,ID,1714933928
229,fortuna,40.5982,-124.1573,286.47,75,75,0.45,US,1714933929
230,jhingergacha,23.1131,89.0938,302.49,80,72,3.89,BD,1714933929
231,punta del este,-34.9667,-54.95,293.21,91,75,3.6,UY,1714933643
232,nema,57.5067,50.5011,277.99,80,100,6.14,RU,1714933930
233,berezovyy,51.6667,135.7,274.85,81,79,1.75,RU,1714933930
234,san antonio de pale,-1.4014,5.6325,301.37,85,7,3.45,GQ,1714933930
235,gloversville,43.0528,-74.3438,284.01,91,100,2.74,US,1714933931
236,arkhangel'sk,64.5401,40.5433,272.21,69,40,2.0,RU,1714933932
237,walvis bay,-22.9575,14.5053,291.68,72,0,0.51,NA,1714933932
238,priob'ye,62.5206,65.5964,267.05,97,26,1.66,RU,1714933933
239,mount isa,-20.7333,139.5,291.02,39,100,4.12,AU,1714933933
240,mili,6.0815,171.735,301.32,81,100,8.52,MH,1714933692
241,dhoro naro,25.5,69.5667,303.26,50,0,6.83,PK,1714933934
242,lazaro cardenas,17.9583,-102.2,301.82,58,77,4.2,MX,1714933676
243,chonchi,-42.6128,-73.8092,280.44,83,99,3.15,CL,1714933934
244,asipovichy,53.2933,28.6422,285.93,70,100,1.32,BY,1714933935
245,paita,-5.0892,-81.1144,297.76,69,16,6.45,PE,1714933935
246,margaret river,-33.95,115.0667,288.52,83,55,2.84,AU,1714933936
247,arroyo,41.6096,-4.7969,286.17,84,75,3.6,ES,1714933936
248,fort bragg,35.139,-79.006,299.16,82,75,3.6,US,1714933936
249,kalas,18.1667,74.8,304.74,34,0,5.96,IN,1714933937
250,yunyang,33.4474,112.7142,288.61,93,29,2.19,CN,1714933937
251,nabire,-3.3667,135.4833,297.52,94,100,1.2,ID,1714933937
252,richards bay,-28.783,32.0377,294.36,92,0,1.73,ZA,1714933687
253,bayanaul,50.7889,75.6956,278.93,85,100,2.94,KZ,1714933938
254,chernyshevsk,52.5243,117.0174,283.29,43,100,2.13,RU,1714933938
255,ranau,5.9538,116.6641,293.86,97,21,0.55,MY,1714933939
256,kawambwa,-9.7915,29.0791,290.04,80,11,3.01,ZM,1714933939
257,grootfontein,-19.5667,18.1167,286.91,44,0,1.03,NA,1714933940
258,saint-pierre,-21.3393,55.4781,295.97,64,0,3.6,RE,1714933940
259,luderitz,-26.6481,15.1594,289.19,74,0,4.49,NA,1714933941
260,carrigaline,51.8117,-8.3986,286.01,82,75,4.12,IE,1714933941
261,khorixas,-20.3667,14.9667,297.84,20,0,4.21,NA,1714933941
262,yuzhno-kurilsk,44.0306,145.8556,280.03,80,100,1.41,RU,1714933942
263,papao,-17.75,-149.55,300.97,80,5,10.1,PF,1714933698
264,akureyri,65.6835,-18.0878,281.11,71,20,3.6,IS,1714933943
265,cabo san lucas,22.8909,-109.9124,304.05,47,0,3.09,MX,1714933882
266,ghat,24.9647,10.1728,302.2,29,100,5.85,LY,1714933943
267,hamilton,39.1834,-84.5333,299.15,65,75,3.6,US,1714933843
268,gilgit,35.9221,74.3087,288.52,52,79,1.0,PK,1714933944
269,ta`u,-14.2336,-169.5144,301.2,80,100,5.23,AS,1714933944
270,leninskoye,41.7589,69.3864,288.18,80,100,1.28,KZ,1714933945
271,francisco i. madero,29.7059,-107.8043,298.45,6,0,6.43,MX,1714933945
272,ceska kamenice,50.7978,14.4177,288.64,95,5,0.82,CZ,1714933945
273,horta,38.5333,-28.6333,292.95,89,40,4.12,PT,1714933946
274,katsuura,35.1333,140.3,292.89,77,100,8.45,JP,1714933946
275,elmali,36.7358,29.9177,283.01,62,2,2.37,TR,1714933946
276,kassala,15.451,36.4,306.3,11,0,1.92,SD,1714933947
277,uribia,11.7139,-72.266,306.44,52,90,5.72,CO,1714933947
278,nuuk,64.1835,-51.7216,270.49,59,20,6.71,GL,1714933871
279,banlung,13.7468,107.0045,295.53,95,100,0.98,KH,1714933948
280,chibougamau,49.9168,-74.3659,283.94,93,100,6.69,CA,1714933948
281,bamboo flat,11.7,92.7167,301.2,83,20,1.03,IN,1714933949
